Frame_Name,Start_X_px,Start_Y_px,End_X_px,End_Y_px,Center_X_px,Center_Y_px,Horizontal_Length_Microns
S1_H4_L1_p14_C04_T60_Seq001_Img000001.bmp,82,93,179,109,130,101,4105.35
S1_H4_L1_p14_C04_T60_Seq001_Img000001.bmp,28,196,179,223,104,210,6390.8
S1_H4_L1_p14_C04_T60_Seq001_Img000001.bmp,66,226,148,243,107,234,3470.5
S1_H4_L1_p14_C04_T60_Seq001_Img000001.bmp,21,283,164,313,92,298,6052.22
S1_H4_L1_p14_C04_T60_Seq001_Img000001.bmp,37,311,179,347,108,329,6009.89
S1_H4_L1_p14_C04_T60_Seq001_Img000001.bmp,23,339,145,368,84,354,5163.43
S1_H4_L1_p14_C04_T60_Seq001_Img000003.bmp,57,118,163,133,110,126,4486.26
S1_H4_L1_p14_C04_T60_Seq001_Img000003.bmp,34,169,141,179,88,174,4528.58
S1_H4_L1_p14_C04_T60_Seq001_Img000003.bmp,12,454,160,502,86,478,6263.83
S1_H4_L1_p14_C04_T60_Seq001_Img000004.bmp,39,35,159,51,99,43,5078.78
S1_H4_L1_p14_C04_T60_Seq001_Img000004.bmp,65,62,154,76,110,69,3766.76
S1_H4_L1_p14_C04_T60_Seq001_Img000004.bmp,26,142,140,157,83,150,4824.84
S1_H4_L1_p14_C04_T60_Seq001_Img000004.bmp,16,371,113,390,64,380,4105.35
S1_H4_L1_p14_C04_T60_Seq001_Img000006.bmp,26,252,110,264,68,258,3555.15
S1_H4_L1_p14_C04_T60_Seq001_Img000007.bmp,14,220,133,240,74,230,5036.46
S1_H4_L1_p14_C04_T60_Seq001_Img000008.bmp,56,89,148,103,102,96,3893.73
S1_H4_L1_p14_C04_T60_Seq001_Img000008.bmp,0,476,120,512,60,494,5078.78
S1_H4_L1_p14_C04_T60_Seq001_Img000009.bmp,6,339,109,357,58,348,4359.29
S1_H4_L1_p14_C04_T60_Seq001_Img000009.bmp,12,396,156,443,84,420,6094.54
S1_H4_L1_p14_C04_T60_Seq001_Img000011.bmp,36,116,144,128,90,122,4570.9
S1_H4_L1_p14_C04_T60_Seq001_Img000011.bmp,2,196,131,210,66,203,5459.69
S1_H4_L1_p14_C04_T60_Seq001_Img000011.bmp,13,309,160,342,86,326,6221.51
S1_H4_L1_p14_C04_T60_Seq001_Img000012.bmp,12,167,136,182,74,174,5248.08
S1_H4_L1_p14_C04_T60_Seq001_Img000012.bmp,7,280,145,304,76,292,5840.6
S1_H4_L1_p14_C04_T60_Seq001_Img000013.bmp,68,65,168,78,118,72,4232.32
S1_H4_L1_p14_C04_T60_Seq001_Img000013.bmp,15,369,136,400,76,384,5121.11
S1_H4_L1_p14_C04_T60_Seq001_Img000014.bmp,51,35,167,55,109,45,4909.49
S1_H4_L1_p14_C04_T60_Seq001_Img000014.bmp,36,143,158,161,97,152,5163.43
S1_H4_L1_p14_C04_T60_Seq001_Img000014.bmp,18,251,123,265,70,258,4443.93
S1_H4_L1_p14_C04_T60_Seq001_Img000015.bmp,39,89,128,100,84,94,3766.76
S1_H4_L1_p14_C04_T60_Seq001_Img000016.bmp,1,454,182,512,92,483,7660.5
S1_H4_L1_p14_C04_T60_Seq001_Img000017.bmp,4,222,140,243,72,232,5755.95
S1_H4_L1_p14_C04_T60_Seq001_Img000017.bmp,3,477,129,511,66,494,5332.72
S1_H4_L1_p14_C04_T60_Seq001_Img000018.bmp,7,339,121,361,64,350,4824.84
S1_H4_L1_p14_C04_T60_Seq001_Img000018.bmp,18,400,134,431,76,416,4909.49
S1_H4_L1_p14_C04_T60_Seq001_Img000020.bmp,43,117,143,128,93,122,4232.32
S1_H4_L1_p14_C04_T60_Seq001_Img000020.bmp,2,307,145,336,74,322,6052.22
S1_H4_L1_p14_C04_T60_Seq001_Img000021.bmp,70,64,156,79,113,72,3639.79
S1_H4_L1_p14_C04_T60_Seq001_Img000021.bmp,19,168,132,181,76,174,4782.52
S1_H4_L1_p14_C04_T60_Seq001_Img000021.bmp,10,368,110,392,60,380,4232.32
S1_H4_L1_p14_C04_T60_Seq001_Img000022.bmp,41,144,133,155,87,150,3893.73
S1_H4_L1_p14_C04_T60_Seq001_Img000022.bmp,23,196,141,213,82,204,4994.14
S1_H4_L1_p14_C04_T60_Seq001_Img000022.bmp,3,251,109,265,56,258,4486.26
S1_H4_L1_p14_C04_T60_Seq001_Img000023.bmp,59,37,170,53,114,45,4697.87
